Course_Name,Course_Number,Dept_Code,Description,Notes,NumberOfCredits,SemesterOffered,prereq,CrossListed
"  American Literature to 1900 ",3010,AMST," Selected readings of literary works beginning with pre-Columbian oral traditions and moving from the colonial era to the early national period through to the late nineteenth century.",NULL,3,NULL,"ECLT 3010","ECLT 3010"
"  American Literature to 1900 ",3010,ECLT," Selected readings of literary works beginning with pre-Columbian oral traditions and moving from the colonial era to the early national period through to the late nineteenth century.",NULL,3,NULL,"AMST 3010","AMST 3010"
"  Temples, Tombs and Hieroglyphs ",3010,EGPT," The class examines Egypt’s history and geography and devotes special attention to the effect of geography and natural resources upon the development of Ancient Egyptian history, art, and civilization.",NULL,3," Offered occasionally.",NULL,NULL
"  Social Psychology ",3010,PSYC," The extension of general psychological principles and methods to the study of interaction with social and physical environment. The nature and methodology of research in social psychology. The major theoretical concepts and their applications and contributions to a variety of areas in the field including development and socialization, social perception and attribution of causality, attitude formation and changes, pro- and anti-social behavior, interpersonal attraction and intimacy, and the social effects and functions of groups.",NULL,3," Offered in fall and spring.","PSYC 1000",NULL
"  Social Psychology ",3010,SOC," The extension of general psychological principles and methods to the study of interaction and social environment. The nature and methodology of research in social psychology. The major theoretical concepts and their applications and contributions to a variety of areas in the field including development and socialization, social perception and attribution of causality, attitude formation and changes, pro- and anti-social behavior, interpersonal attraction and intimacy, and the social effects and functions of groups.",NULL,3," Offered occasionally.","PSYC 1000",NULL
"  Modern American Literature ",3011,AMST," Works of twentieth-century American writers. The reading list may be chosen to reflect changing ethnic and cultural phenomena and will vary from year to year.",NULL,3,NULL,"ECLT 3011","ECLT 3011"
"  Electrical and Mechanical Systems for Construction Engineering ",3011,CENG," A study of electrical and mechanical systems used in both residential and commercial construction. Lectures cover the basic principles of electrical distribution, artificial lighting, fire protection, plumbing systems and heating, ventilating and air conditioning (HVAC) systems. Course content will include system design, component selection and utilization for energy conservation. Techniques of application and installation will be included as well as site visits and workshops.",NULL,4," offered in fall and spring",NULL,NULL
"  Analytical Chemistry II ",3011,CHEM," Instrumental methods of chemical analysis: visible, ultraviolet, and infrared absorption spectroscopy, atomic absorption and emission spectrometry, fluorimetry, X-ray diffraction and fluorescence; mass spectrometry, gas chromatography, thermometric and electrochemical methods.",NULL,3," Offered in fall.","CHEM 2006",NULL
"  Modern American Literature ",3011,ECLT," Works of twentieth-century American writers. The reading list may be chosen to reflect changing ethnic and cultural phenomena and will vary from year to year.",NULL,3,NULL,"AMST 3011","AMST 3011"
"  Intermediate Microeconomic Theory ",3011,ECON," Preferences, utility theory, and derivation of consumer demand. Convergence conditions in consumer choice. Slutsky decomposition. Supply, cost structure, factor inputs, and technology. Properties of production functions including the Euler Theorem. Monopoly, duopoly (Bertrand and Cournot), oligopoly, monopolistic, and competitive markets. The extent of market entry. Labor choice, the capital asset pricing model, and technological innovation. Introduction to game theory. General equilibrium and welfare economics.",NULL,3," Offered in fall and spring.","ECON 2011",NULL
"  Educational Psychology ",3011,PSYC," Educational Psychology introduces psychological principles, theories, and methodologies to issues of teaching and learning in education. The role of psychology of education in studying and influencing teaching and learning will be explored with an emphasis on direct application to planning, implementing, and evaluating instruction in the classroom.",NULL,3," ","PSYC 1000",NULL
"  Literature and Philosophy ",3014,ECLT," The course concentrates on the intersection of the literary mode with the philosophical quest in Eastern and Western writing. Students are trained to analyze philosophical myths, tales, poems and dialogues as well as grasp the symbolic structures and expository techniques of philosophers.",NULL,3,NULL,"PHIL 3014","PHIL 3014"
"  Literature and Philosophy ",3014,PHIL," The course concentrates on the intersection of the literary mode with the philosophical quest in Eastern and Western writing. Students are trained to analyze philosophical myths, tales, poems and dialogues as well as grasp the symbolic structures and expository techniques of philosophers.",NULL,3,NULL,"ECLT 3014","ECLT 3014"
"  Global Families: Kinship and Relatedness in Late Modernity ",3015,ANTH," Transformation of family and kin structures and relations in present-day globalization. Impacts of urbanization, international migration, consumerism, economic and other factors on families and kin groups.  Why and how people legitimize their kin relationships in the eyes of their community, their state, and their religion, and how different family structures are tied to naturalizing certain forms of power.  Comparative perspectives from the Middle East and other world areas.",NULL,3," Offered in alternate years.",NULL,NULL
"  Biochemistry ",3015,CHEM," The living cell, structure of biomolecules and their relationship to biological functions; biochemical energetics; metabolism of major cellular components and their relationship to clinical conditions.",NULL,3," Offered in fall.","CHEM 3006",NULL
"  Islamic Philosophy ",3015,PHIL," A survey of the rational and spiritual dimensions of Arab-Islamic civilization as shown in the thought and ideas of major theologians, philosophers, and mystics.",NULL,3," Offered occasionally.","HIST 2203",NULL
"  American Philosophy ",3016,AMST," The course examines philosophy in North America, focusing on the central themes of democracy and pragmatism. A guiding question of the course will be: How is the democratic process embedded in the philosophic enterprise? The views of major thinkers such as Peirce, James, Royce, Santayana, Dewey, Quine, and Hartshorne will be examined.",NULL,3,NULL,"PHIL 3016","PHIL 3016"
"  American Philosophy ",3016,PHIL," The course examines philosophy in North America, focusing on the central themes of democracy and pragmatism. A guiding question of the course will be: How is the democratic process embedded in the philosophic enterprise? The views of major thinkers such as Peirce, James, Royce, Santayana, Dewey, Quine, and Hartshorne will be examined.",NULL,3,NULL,"AMST 3016","AMST 3016"
"  Social Movements ",3020,ANTH," Basic processes by which societies initiate, consolidate, transform, and change their basic institutions and social structures. Anatomy of reform and revolutionary social movements, especially those affecting Arab and Third World societies.",NULL,3," Offered in spring","SOC 3303",NULL
"  Introduction to Sufism ",3020,ARIC," An introduction to mysticism in its Islamic context: a survey of the historical development of tasawwuf, the main trends in Sufi thought and practice, the role played by Sufis and Sufi brotherhoods in society and the Sufi contributions to Middle Eastern culture.",NULL,3," Offered in alternate years.",NULL,NULL
"  Food Chemistry ",3020,CHEM," This course covers the chemistry of food constituents, the changes these  constituents undergo during processing, the chemistry and technology of  meat and meat products, dairy products, fruit and vegetables, cereal  products and alcoholic/non-alcoholic beverages. It also covers the basic  chemistry of color, odor and taste (sensory properties of foodstuffs).
",NULL,3,NULL,"CHEM 1005",NULL
"  Intermediate Macroeconomic Theory ",3021,ECON," This course covers aggregate economic behavior using Keynesian and Neoclassical macroeconomic analysis. Various theories of how a nation’s income, employment and price level behave under static and dynamic conditions are examined. Topics covered include: income determination, unemployment, price stability, budget deficits, balance of payments equilibrium and economic growth, in addition to the impact of fiscal, monetary and exchange rate policy on macroeconomic performance.",NULL,3," Offered in fall and spring.","ECON 2021",NULL
"  Reservoir Rock Properties ",3021,PENG," Porosity, permeability, saturation, core retrieval and handling, measurements of porosity, permeability and saturation in the lab, routine core analysis reports, wettability, capillary pressure, relative permeability, measurement of wettability, capillary pressure, and relative permeability in the lab, SCAL reports, other SCAL properties including electric and acoustic properties, and rock compressibility.",NULL,3," Every semester",NULL,NULL
"  Petrophysics and Fluids Lab ",3022,PENG," Lab safety and core plug preparation, measurements of porosity, gas and liquid permeabilities, saturation, electrical properties of the rock, Dean stark and retort, surface tension (Amott Test), wettability, capillary pressure calculation, relative permeability, PVT analysis.",NULL,1," Offered in spring or fall.",NULL,NULL
"  Electromagnetic Theory ",3023,PHYS," Electric field and potential. Gauss’s law; divergence. Conductors, dielectrics and capacitance. Poisson’s and Laplace’s equations. Electrostatic analogs. Magnetic field and vector potential. Time varying fields; displacement current. Maxwell’s equations in differential form, Poynting’s theorem, Electromagnetic waves in vacuum and in matter",NULL,3," Offered in spring.","MACT 2124",NULL
"  Clinical Chemistry I ",3025,CHEM," Module 1: Principles of laboratory techniques: spectrophotometry, chromatography, mass spectrometry, radioisotopes, electrophoresis, immunochemical techniques, electrochemistry, point-of-care devices, and lab automation. Module 2: Chemometrics: statistical procedures, selection and interpretation of lab procedures, reference intervals, clinical decision limits, quality control and method evaluation. Module 3: Laboratory management, quality and informatics.",NULL,3," Offered in spring.","CHEM 3011",NULL
"  Development Agencies ",3025,SOC," The course examines the various agencies active in the field of development. It investigates how these organizations, such as NGOs, state bureaucracy and international development organizations shape the process of development.",NULL,3," Offered occasionally.",NULL,NULL
"  Literature and Cinema ",3030,ECLT," The course investigates the relationship between literature and cinema and how they complement each other in representing textually and visually a broad theme, a historical period, or a national concern.",NULL,3,NULL,NULL,"FILM 3030"
"  Literature and Cinema ",3030,FILM," This course investigates the relationship between literature and cinema and how they complement each other in representing textually and visually a broad theme, a historical period, or a national concern.",NULL,3,NULL,NULL,"ECLT 3030"
"  Sociology of Literature ",3030,SOC," The social bases of literary productions both oral and written and the functions  of literature for social integration. The interrelationship of literary expression and movements for social change.",NULL,3," Offered occasionally.",NULL,NULL
"  Education, Civil Society and International Development ",3031,EDUC," This course explores the changing roles of civil society in education and development, with a special emphasis on intergovernmental organizations, NGOs, community-based associations, and grassroots movements. The course introduces students to different educational ideologies for analyzing the relationships among civil society, citizenship and human development. Included are the corresponding themes of: democratic citizenship; national and global models of education for a competitive global free market; local and global network of human rights and peace education; and environmental movements and education in a global civil society. This is an interdisciplinary course for students interested in philosophical, social, economic, political or global studies.",NULL,3,NULL,NULL,NULL
"  Thermodynamics and Statistical Mechanics ",3031,PHYS," A macroscopic and microscopic study of equilibrium thermal physics, fundamental laws of thermodynamics, and statistical mechanics applied to various systems.",NULL,3," Offered in spring.",NULL,NULL
"  States, Capital and Rural Lives ",3040,ANTH," Analysis of dynamics of expanding state and capital relations into rural and pastoral communities, with special focus on property and labor relations, the social organization of production and exchange, politics and power relations, and the organization and practice of everyday life.  The course draws on comparative ethnographic case studies from around the world.",NULL,3," Offered in alternate years.",NULL,NULL
"  Lifespan Development ",3040,PSYC," The study of human growth and development across the lifespan with emphasis on normal growth and milestones achieved in the physical, cognitive, social, and emotional systems. Educational and familial contexts are highlighted. Students will develop an understanding of the concepts, methods, and research findings central to the study of developmental psychology.",NULL,3," Offered in fall and spring."," PSYC 1000",NULL
"  Monetary Economics ",3041,ECON,NULL,NULL,3,NULL,"ECON 2021",NULL
"  Anthropology and Film ",3041,FILM," The history and practice of film in anthropology; film as ethnography; comparison of films and analytical ethnographies.",NULL,3," Offered occasionally.","ANTH 2101",NULL
"  The Urban Experience ",3045,ANTH," This course will explore a variety of approaches for the study of life in cities, providing students with tools to think critically about the meaning of urban life in the new century.  Are cities the vibrant, vital centers of all that is exciting, new and provocative in modern life or are they the decaying, decadent and dangerous remnants of an industrial age whose time has past?  How do we link the lives of corporate elites and pop icons with crack dealers and shanty town dwellers?  How do we place migration, world capital flows, transnational media, and global consumption in our studies of city life?",NULL,3," Offered in spring.","SOC 3045",NULL
"  The Urban Experience ",3045,SOC," This course will explore a variety of approaches for the study of life in cities, providing students with tools to think critically about the meaning of urban life in the new century.  Are cities the vibrant, vital centers of all that is exciting, new and provocative in modern life or are they the decaying, decadent and dangerous remnants of an industrial age whose time has passed? How do we link the lives of corporate elites and pop icons with crack dealers and shanty town dwellers?  How do we place migration, world capital flows, transnational media, and global consumption in our studies of city life?",NULL,3," Offered occasionally.","ANTH 3045",NULL
"  Rural Sociology ",3050,SOC," The Middle Eastern rural community and its relation to agricultural development, tenure systems, ecological processes, urbanization, migration, and changing technology.",NULL,3," Offered occasionally.",NULL,NULL
"  Economic Development ",3053,ECON," Major economic problems of developing countries. Alternative explanations of underdevelopment and theories of development. Major domestic and international aspects of development including population growth, capital accumulation and international economic relations. Sustainable development.",NULL,3," Offered in fall and spring.","ECON 2021",NULL
"  Environmental and Natural Resource Economics ",3054,ECON," The course discusses basic environmental and natural resource models and environmental policies as applied to energy, minerals, water, fisheries, pollution control, and sustainable development. It includes an Community Based Learning (CBL).",NULL,3," Offered once a year.",NULL,NULL
"  The Digital Economy: The Economics of New Technologies and Development ",3055,ECON," The course engages students in timely debates related to the digital economy and inclusive development, with focus on the interests and realities of developing countries and their global position amidst these deliberations. In the age of what has been coined the ‘Fourth Industrial Revolution’, new digital technologies such as artificial intelligence and machine learning are expected to infiltrate and transform all aspects of human lives and shape the future of economies. This raises important questions on challenges and opportunities associated with these technologies, and whether they are promoting equitable growth or exacerbating existing inequalities, especially in the context of developing countries.",NULL,3,NULL,"ECON 2021",NULL
"  Fundamentals of Population Studies ",3055,SOC," Facts and issues of human population. Creates demographic literacy, and an ability to deal with population realities. Substantive knowledge covering processes and determinants of population structure, growth,  and changes: fertility, mortality, and migration, as well as challenges of population growth.",NULL,3," Offered in alternate years.",NULL,NULL
"  Social Constructions of Difference: Race, Class and Gender ",3060,ANTH," The course will first introduce students to the vast theoretical literature on the concepts of race, ethnicity and class from sociology and anthropology.  Second, the course will expect students to shift focus away from looking at different cultures to analyzing cultural productions of difference.  In the course we will be concerned with how racial, ethnic and class identities are shaped by diverse hegemonic systems, modes of resistance, and the structuring of social relations in different societies.",NULL,3," Offered occasionally.","SOC 3060",NULL
"  Social Constructions of Difference: Race, Class and Gender ",3060,SOC," The course will first introduce students to the vast theoretical literature on the concepts of race, class and gender from sociology and anthropology.  Second, the course will expect students to shift focus away from looking at different cultures to analyzing cultural productions of difference.  In the course we will be concerned with how racial, class and gender identities are shaped by diverse hegemonic systems, modes of resistance, and the structuring of social relations in different societies.",NULL,3," Offered occasionally.","ANTH 3060",NULL
"  Mathematics for Economists II ",3061,ECON," The first part of the course is matrix algebra which covers the following: determinant, rank, matrix inverse, Cramer’s rule, eigenvalues and eigenvectors. The second part discusses multivariate functions and partial derivatives as well as unconstrained and constrained optimization. Homogeneous and homothetic properties of multivariate functions are also discussed. The third part of the course is advanced integral calculus. Economic applications are emphasized throughout the course.",NULL,3," Offered in fall and spring.",NULL,NULL
"  Anthropology and Film ",3070,ANTH," The history and practice of film in anthropology; film as ethnography; comparison of films and analytical ethnographies. Additional Mandatory Lab Sessions for Film Screening.",NULL,3," Offered occasionally.","FILM 3041",NULL
"  Selected Topics in Film ",3070,FILM," In-depth examination of specific topics in film determined by the special interests and expertise of the faculty..",NULL,3," Offered occasionally.",NULL,NULL
"  Labor Economics ",3071,ECON," The course offers a general treatment of modern theoretical and empirical labor economics. Topics to be covered include: operation of labor markets; wage determination; firm, industry and public sector labor demand; human capital investment; race and gender employment and wage discrimination; public policy effects. The relation of labor market outcomes and attendant public policy to poverty, income distribution and economic growth is covered. (The course includes community-based learning components)",NULL,3," Offered in fall and spring.","ECON 2021",NULL
"  General Relativity and Cosmology ",3071,PHYS," Coordinate symmetries, the principle of equivalence and its implications, metric description of a curved spacetime, Geodesic equation and Einstein field equation, applications of spacetime outside a spherical star, Hubble’s law, dark matter, Robertson-walker metric, the expanding universe and thermal relics, inflation and the accelerated universe.",NULL,3,NULL,NULL,NULL
"  Language in Culture ",3075,ANTH," The role played by language in humankind’s symbolic relation to the world. Emphasis on linguistic analysis, ethnosemantics, sociolinguistics, expressive speech and language and socialization as these elucidate patterns of cognitive orientation.",NULL,3," Offered occasionally.","LING 3075",NULL
"  Language in Culture ",3075,LING," The role played by language in humankind’s symbolic relation to the world. Emphasis on linguistic analysis, ethnosemantics, sociolinguistics, expressive speech, and language and socialization as these elucidate patterns of cognitive orientation.",NULL,3,NULL,"ANTH 3075","ANTH 3075"
"  Gender, Sexuality and Social Change ",3080,ANTH," An introduction to the study of gender ideologies, including a cross-cultural comparison of how genders are constructed to create different norms of masculine, feminine, and other categories linked to various forms of sexuality.  Focus on analyzing how inequalities are maintained and contested over time through gendered discourses and practices at home, at work, and at local, national and international levels.  Special emphasis on the uses of gender in justifying and challenging development agendas in the Global South.",NULL,3," Offered in alternate years.","ANTH 2101",NULL
"  Cognitive Psychology ",3080,PSYC," Current research and theory concerning mental processing and mental structures. Emphasis on the processes of perceiving, learning, remembering, and thinking. The merits and limitations of studying these processes from an information-processing perspective.",NULL,3," ","PSYC 2100",NULL
"  Introduction to Econometrics ",3081,ECON," The course covers regression methods for analyzing data in economics, including multiple regression with indicator variables, regression with heteroskedastic  and correlated errors, hypothesis and diagnostic testing. The course emphasizes practical applications using econometrics software.",NULL,3," Offered in fall and spring.","ECON 2081",NULL
"  Environmental Issues in Egypt ",3085,ANTH," The technical aspects of environmental issues in Egypt are examined taking into account the cultural, social, and political dimensions upsetting the balance of the environment.  Major issues such as water scarcity, global warming, desertification, urban pollution, tourism, and demographic pressures are presented and analyzed. ",NULL,3," Offered in alternate years.","SOC 3085",NULL
"  Environmental Issues in Egypt ",3085,SOC," The technical aspects of environmental issues in Egypt are examined taking into account the cultural, social, and political dimensions upsetting the balance of the environment.  Major issues such as water scarcity, global warming, desertification, urban pollution, tourism, and demographic pressures are presented and analyzed. ",NULL,3," Offered in alternate years.","ANTH 3085",NULL
"  Public Anthropology ",3090,ANTH," Cultural dynamics involved in social and economic change with special reference to Egypt and the Middle East. Community development, cooperatives, population studies, resettlement, health and education are some of the problems that may be discussed. Case studies and fieldwork.",NULL,3," Offered in alternate years.",NULL,NULL
"  Selected Themes and Topics in Arabic Literature ",3097,ARIC," Focuses on one theme in the classical and/or modern period such as love, satire and humor, regional literature, wisdom literature, Sufi literature, tradition and modernity, self and other, alienation and exile. See class schedule for specific theme or topic offered.."," Taught in Arabic.",3," Offered occasionally.",NULL,NULL
"  Selected Topics in Islamic Studies ",3098,ARIC," This course will focus on selected areas of Islamic Studies, such as theology, jurisprudence, and issues relating to women and gender. A range of different Muslim and Western approaches and opinions relevant to the chosen topic will be considered, as will as broader social dimensions.",NULL,3,NULL,NULL,NULL
"  Selected Topics in Music ",3099,MUSC," Offered occasionally.",NULL,3,NULL,NULL,NULL
"  Selected Topics ",3099,RHET," Course addresses broad intellectual concerns, and is accessible to all students irrespective of major.",NULL,3,NULL,NULL,NULL
"  Selected Topics in Theatre ",3099,THTR," In-depth examination of specific topics in theatre determined by the special interests and expertise of the faculty.",NULL,3," Offered occasionally.",NULL,NULL
"  The US and the World Economy ",3100,AMST," The course will look at the relationship between the U.S. and the global monetary, financial and trading systems. From a historical perspective, the course will examine how the U.S.  power has evolved in the post-World War Two as well as the emergence of the Bretton Woods institutions (IMF and World Bank) and the World Trading Organization (WTO). Current issues include but not restricted to the role and weight of the newly emerging industrialized countries. (BRICS: Brazil, Russia, India, China, and South Africa), the continued reliance on the U.S. dollar as the predominant reserve currency, and the impact of the growing American indebtedness on the world economy.",NULL,3,NULL,NULL,NULL
"  Programming Language ",3101,CSCE," A programming language different from those studied in ",NULL,1," Offered occasionally.","CSCE 1001",NULL
"  History of Social Theory ",3102,ANTH," The nature and function of social theory and its development especially since the Enlightenment. Emphasis on the cumulative insights and ideas which have contributed to modern social theory. The essential aspects of the philosophy of social science, especially epistemological problems in the sciences of sociology and anthropology.",NULL,3," Offered in fall.","SOC 3102",NULL
"  Programming in Java ",3102,CSCE," This course offers intermediate programming concepts in the Java programming language to include virtual machines, dynamic type checking, object serialization, inheritance and polymorphism, file manipulation, interfaces and packages. Java Applets, event handling, multithreading and network-based application development in Java are also covered along with a set of selected topics such as remote method invocation and remote database access using the language.",NULL,3," Offered occasionally.",NULL,NULL
"  Modern Philosophy ",3102,PHIL," Philosophical progress played an essential role in the historical changes of the Enlightenment and the development of industrial society. This course focuses on some of the major schools and figures of Modern thought, which include Rationalists such as Descartes and Leibniz, Empiricists such as Locke and Hume, and/or pivotal thinkers such as Bacon, Rousseau, Hegel, Kant, and Marx.",NULL,3," Offered every year.",NULL,NULL
"  History of Social Theory ",3102,SOC," The nature and function of social theory and its development, especially since the Enlightenment. Emphasis on the cumulative insights and ideas which have contributed to modern social theory. The essential aspects of the philosophy of social science, especially epistemological problems in the sciences of sociology and anthropology.",NULL,3," Offered in fall.","ANTH 3102",NULL
"  Object Oriented Programming ",3103,CSCE," In-depth study of a typical object-oriented programming language (C++) from a software engineering perspective, with emphasis on features supporting the development of large, efficient and reusable object-oriented applications. Principles and practice of three software development paradigms: developing classes from scratch, reuse of existing classes, incremental extension of frameworks. Encapsulation, templates, polymorphism, dynamic binding and virtual methods, operator’s overloading, complex associations, dynamic aggregation, inheritance (single and multiple), exception handling, the standard template library. Introduction to UML for describing program designs.",NULL,3," Offered Occasionally.",NULL,NULL
"  Social Statistics ",3103,SOC," This course is designed for students in the social sciences who do not have a background in mathematics except high school algebra. The course will provide an introduction to statistics as a tool for analyzing and understanding data related to social life. The course deals with basic concepts and procedures and integrates SPSS demonstrations and exercises.",NULL,3," Offered in fall.",NULL,NULL
"  Contemporary Anthropological Theory ",3104,ANTH," .Introduces major theories and theorists in the recent history of anthropology and provides a broad vision of the development of the discipline and of contemporary anthropological thought. The course also covers the development of the ethnographic method, important paradigms such as structural-functionalism, and recent critical theory.",NULL,3," Offered in spring","ANTH 3102",NULL
"  Arabic Literature and Gender ",3104,ARIC," Investigates the construction of gender, both masculine and feminine, through readings in a variety of Arabic discourses."," Taught in Arabic.",3," Offered in fall or spring.",NULL,NULL
"  Concepts of Programming Languages ",3104,CSCE," Comparative study of abstraction, syntax, semantics, binding times, data and sequence control, run-time resources, translators, and storage of programming languages. Programming projects using selected programming languages to enhance practical aspects.",NULL,3," Offered in fall and spring.",NULL,NULL
"  Contemporary Sociological Theory ",3104,SOC," The main trends, basic problems, and unresolved issues of post-war sociological thought. Essential aspects of the logic of scientific inquiry; contemporary theories as model building in sociology including new functionalism, critical theory, structuralism and poststructuralism.",NULL,3," Offered in spring.","SOC 3102",NULL
"  Fieldwork Methods ",3105,ANTH," Logic and philosophy of qualitative methodology in anthropology and other social sciences. The process of research design, data collection, analysis and interpretation of results and final write-up is elaborated with specific reference to research conducted in Egypt, the wider Arab and Middle Eastern worlds and elsewhere. Discussion of the politics and ethics of fieldwork, including protection of the rights of human participants in research projects.",NULL,3," Offered in fall and spring.","ANTH 2101",NULL
"  Electronics I: Basic Electronic Devices & Circuits ",3105,ECNG," Devices and Basic Circuits: Introduction to Electronics, Operational Amplifiers, Active Filters, Diodes, Bipolar Junction Transistors (BJT’s) (DC and small signal analysis), MOS Field Effect Transistors (MOSFET’s) (DC and small signal analysis).",NULL,3," Offered in fall and spring.","ECNG 2106",NULL
"  Big History ",3105,HIST," A study of the earth, the universe and human civilizations that tries to understand how human beings are connected to their environments and the billions of years of historical evolution that preceded their appearance on the planet. Beginning with big bang cosmology and continuing all the way through to the future, it is an attempt to put everything - and everyone - into perspective.",NULL,3,NULL,"HIST 1102",NULL
"  Doing Survey Research in the Social Sciences ",3105,SOC," .This course introduces students to the basic survey methods used in the social sciences. Emphasis is on the logic of social science and the implications of the major forms of quantitative research methodology. Allows students to recognize and analyze merits of research in the social sciences including public opinion and policy action research ."," Students will be encouraged to conduct mini-scale surveys on the campus and beyond.",3," Offered in spring","SOC 2101",NULL
"  Arabic Literature and Film ",3106,ARIC," Looks at the intersection between literature and film as two modes of representation. Readings of Arabic literary texts, and in class screenings of films."," Taught in Arabic.",3," Offered in fall or spring.",NULL,NULL
"  Electronics II: Analog Circuits ",3106,ECNG," Differential and Multistage Amplifiers, Frequency Response, Feedback, Output Stages and Power Amplifiers, Analog Integrated Circuits, Filters and Tuned Amplifiers, Signal Generators and Waveform Shaping Circuits.",NULL,3," Offered in fall and spring.","ECNG 3105",NULL
"  The Writer and the State ",3107,ARIC," Explores the nature of the relationship between writers and authority, in allegiance or in opposition."," Taught in Arabic",3," Offered in fall or spring.",NULL,NULL
"  Colloquial and Folk Literature ",3108,ARIC," Arabic colloquial and folk literature through the study of various genres."," Taught in Arabic.",3," Offered in fall or spring.",NULL,NULL
"  VLSI Design ",3108,ECNG," Introduction to fabrication techniques for silicon very large integrated circuits (VLSI), Introduction to MOS transistor. Details of CMOS inverter, transmission gates. Design of Complex CMOS gates; combinational and sequential design techniques in VLSI. CMOS technology and rationale behind various design rules. Design and synthesis using hardware description languages(HDL) such as Verilog. Use CAD tools to design, layout, check and simulate some basic circuits. Design, layout and simulation of a project.",NULL,3," Offered in fall and spring.","ECNG 2101",NULL
"  World Cinema ",3110,FILM," A survey of key international cinemas from the post-Second World War period to the present day, which have come to be understood retrospectively, during the contemporary period, as “world cinema.” Students will gain critical exposure to films and film movements such as Third World cinema, European New Waves and art films, the Japanese New Wave, Brazilian cinema novo, and the more recent North American “indie” cinema. In the process, students will learn how to locate and subject the socio-economic and ideologico-political conditions of world cinema to serious analysis and critique.",NULL,3," Offered during Fall or Spring",NULL,NULL
"  Diction for Singers in the Western Tradition ",3110,MUSC," Study of the fundamentals of diction for singing in German, French, Italian, and English. Students will learn the International Phonetic Alphabet (IPA), and perform repertory in these languages in class. Open to students outside the voice concentration, including nan-majors, with permission of the instructor; some prior study of voice is required, however.",NULL,3,NULL,NULL,NULL
"  The Writer’s Workshop ",3110,RHET," This course offers students a unique opportunity to learn the fundamentals of nonfiction writing, and to grow as critics, both on the page and in the classroom. Students engage life questions in a number of personal contexts, reflecting upon their places as individuals within the larger contexts of family, country, and/or region. They also practice writing formal critiques of peers’ narratives and participate in class workshop discussions.",NULL,3,NULL,NULL,NULL
"  Structural Analysis ",3111,CENG," Analysis of statically determinate structures under static loads, member forces in trusses, shear and moment diagrams, live loads and influence lines, deflections, analysis of statically indeterminate structures by three-moment equation, the method of consistent deformation, slope-deflection, and moment distribution. Approximate analysis of statically indeterminate structures. Matrix force and displacement methods with computer applications.",NULL,4," Offered in fall and spring","ENGR 2102",NULL
"  Drilling Engineering I ",3111,PENG," Rig components, rig types, basic drilling tools, well head equipment, drilling fluids, casing types, cementing concept and equipment, drilling bits, practices of well drilling, drilling techniques, basics of drilling operations, well control equipment, simple drilling problems (e.g. hole stability and lost circulation).",NULL,3," Offered in fall and spring.",NULL,NULL
"  Structural Analysis and Design Principles for Architects ",3112,CENG," Classification and analysis of determinate structures including; trusses, beams, frames, arches and cables. Computation of deflections. Analysis of structure using commercial software. Principles of limit states design. Properties of concrete and construction material. Distribution of loads and arrangement of structural elements in reinforced concrete buildings.",NULL,3," Offered in fall and spring",NULL,NULL
"  Drilling Engineering I Lab ",3112,PENG," Mud program design, Mud rheology tests (e.g. viscosity, Mud Balance, sand content, etc.); well control simulation, bits dulling, bits selection.",NULL,1," Every semester","PENG 3111",NULL
"  The Arabic Novel ",3114,ARIC," Study of different trends in the Arabic novel. In-depth reading of major modern Arab novelists."," Taught in Arabic.",3," Offered in fall or spring.",NULL,NULL
"  Arabic Drama ",3115,ARIC," Study of Arabic drama through readings of major texts."," Taught in Arabic.",3," Offered in fall or spring.",NULL,NULL
"  Art Theory ",3115,ARTV," Offers an introduction to art theory from the start of the twentieth-century up until the present. Emphasis is on reading theoretical texts and interpreting their application to modern and contemporary artistic practices. The course is writing intensive.",NULL,3,NULL,"ARTV 2113",NULL
"  The Arabic Short Story ",3116,ARIC," Study of the short story as a genre in modern Arabic literature. In-depth reading of major short story writers."," Taught in Arabic.",3," Offered in fall or spring.",NULL,NULL
"  History of Advertising in the Arab World ",3117,DSGN," A course on the history of advertising in the Arab world that studies visual communication in the region from the rise of the printing press to the introduction of multinational brands.",NULL,3,NULL,"DSGN 2113",NULL
"  Life Narratives ",3120,RHET," This reading-intensive course will familiarize students with writing in the genres of ‘life writing’. Students learn to write critical reviews of classic and contemporary memoirs, confessions, letters, diaries, and visual portraits as well as autobiographies and biographies, through key themes of self, identity, secrets, truth, inheritance and ethics. The course will consider how critical examinations of new paradigms that consider the self are expressed through writing. The course invites discussion about the social and cultural uses of life writing, from legal testimony to medical case history, and the pervasive ethical dilemmas that arise. In addition, using a variety of texts, the course explores the tensions between local identities rooted in culture, history and language, and global, trans-national identities, driven by the pressures of the modern inter-connected world.",NULL,3,NULL,NULL,NULL
"  Film Theory ",3130,FILM," This course provides a critical overview of the major theoretical approaches to the analysis and critique of cinematic art, including early theories of aesthetics, structure and form; modernist political and avant-garde critiques; theories of spectatorship and the cinematic apparatus; contemporary cultural studies; and theories of animation and new media. Films will be screened in class to facilitate understanding of the assigned theoretical readings. Required for Film majors. Required cumulative course for Film minors.",NULL,3," Offered in the fall or spring.",NULL,NULL
